timestamp,subcarrier_index,magnitude
60.9339,48,18.868
60.9339,49,19.7231
60.9339,50,19.2354
60.9339,51,18.3576
60.9339,52,18.3576
60.9339,53,20.5913
60.9339,54,19.2354
60.9339,55,20.5913
60.9339,56,21.095
60.9339,57,20.8087
60.9339,58,21.6333
60.9339,59,22.2036
60.9339,60,23.0217
60.9339,61,25.0
60.9339,62,24.2074
60.9339,63,25.0
61.0433,0,69.857
61.0433,1,1.0
61.0433,2,25.632
61.0433,3,25.2982
61.0433,4,25.632
61.0433,5,25.0
61.0433,6,25.2982
61.0433,7,24.0416
61.0433,8,23.0868
61.0433,9,22.8035
61.0433,10,22.561
61.0433,11,23.1948
61.0433,12,22.2036
61.0433,13,23.1948
61.0433,14,23.1948
61.0433,15,22.2036
61.0433,16,23.1948
61.0433,17,23.1948
61.0433,18,23.3452
61.0433,19,22.561
61.0433,20,20.3961
61.0433,21,20.6155
61.0433,22,18.9737
61.0433,23,19.6469
61.0433,24,19.9249
61.0433,25,18.0278
61.0433,26,17.8885
61.0433,27,0.0
61.0433,28,0.0
61.0433,29,0.0
61.0433,30,0.0
61.0433,31,0.0
61.0433,32,0.0
61.0433,33,0.0
61.0433,34,0.0
61.0433,35,0.0
61.0433,36,0.0
61.0433,37,0.0
61.0433,38,11.0
61.0433,39,12.1655
61.0433,40,13.1529
61.0433,41,13.3417
61.0433,42,14.5602
61.0433,43,14.8661
61.0433,44,16.5529
61.0433,45,16.5529
61.0433,46,17.8885
61.0433,47,18.3576
61.0433,48,19.2354
61.0433,49,19.2354
61.0433,50,19.7231
61.0433,51,19.7231
61.0433,52,19.7231
61.0433,53,20.5913
61.0433,54,21.095
61.0433,55,19.7231
61.0433,56,21.4709
61.0433,57,22.3607
61.0433,58,22.3607
61.0433,59,22.8473
61.0433,60,23.2594
61.0433,61,26.0
61.0433,62,25.2982
61.0433,63,26.0
61.0433,0,69.857
61.0433,1,1.0
61.0433,2,24.5967
61.0433,3,26.8328
61.0433,4,24.5967
61.0433,5,25.4951
61.0433,6,24.1661
61.0433,7,25.0799
61.0433,8,23.7697
61.0433,9,23.4094
61.0433,10,23.4094
61.0433,11,23.7697
61.0433,12,23.7697
61.0433,13,22.8035
61.0433,14,23.7697
61.0433,15,22.8035
61.0433,16,23.7697
61.0433,17,22.8035
61.0433,18,24.0416
61.0433,19,23.0868
61.0433,20,22.1359
61.0433,21,21.1896
61.0433,22,20.2485
61.0433,23,19.3132
61.0433,24,19.6977
61.0433,25,19.2354
61.0433,26,18.868
61.0433,27,0.0
61.0433,28,0.0
61.0433,29,0.0
61.0433,30,0.0
61.0433,31,0.0
