timestamp,subcarrier_index,I,Q,magnitude,phase_deg
729.470176,11,-2,8,8.246,104.036
729.470176,12,-2,7,7.28,105.945
729.470176,13,-2,7,7.28,105.945
729.470176,14,-2,7,7.28,105.945
729.470176,15,-2,6,6.325,108.435
729.470176,16,-2,5,5.385,111.801
729.470176,17,-2,4,4.472,116.565
729.470176,18,-2,4,4.472,116.565
729.470176,19,-3,3,4.243,135.0
729.470176,20,-3,3,4.243,135.0
729.470176,21,-3,3,4.243,135.0
729.470176,22,-3,2,3.606,146.31
729.470176,23,-4,1,4.123,165.964
729.470176,24,-5,1,5.099,168.69
729.470176,25,-4,1,4.123,165.964
729.470176,26,-5,1,5.099,168.69
729.470176,27,0,0,0.0,0.0
729.470176,28,0,0,0.0,0.0
729.470176,29,0,0,0.0,0.0
729.470176,30,0,0,0.0,0.0
729.470176,31,0,0,0.0,0.0
729.470176,32,0,0,0.0,0.0
729.470176,33,0,0,0.0,0.0
729.470176,34,0,0,0.0,0.0
729.470176,35,0,0,0.0,0.0
729.470176,36,0,0,0.0,0.0
729.470176,37,0,0,0.0,0.0
729.470176,38,6,4,7.211,33.69
729.470176,39,5,5,7.071,45.0
729.470176,40,5,5,7.071,45.0
729.470176,41,4,5,6.403,51.34
729.470176,42,4,6,7.211,56.31
729.470176,43,4,7,8.062,60.255
729.470176,44,3,7,7.616,66.801
729.470176,45,3,9,9.487,71.565
729.470176,46,2,10,10.198,78.69
729.470176,47,2,9,9.22,77.471
729.470176,48,1,9,9.055,83.66
729.470176,49,1,10,10.05,84.289
729.470176,50,2,10,10.198,78.69
729.470176,51,1,9,9.055,83.66
729.470176,52,1,9,9.055,83.66
729.470176,53,1,9,9.055,83.66
729.470176,54,1,9,9.055,83.66
729.470176,55,1,8,8.062,82.875
729.470176,56,0,8,8.0,90.0
729.470176,57,0,8,8.0,90.0
729.470176,58,0,9,9.0,90.0
729.470176,59,-1,9,9.055,96.34
729.470176,60,-1,10,10.05,95.711
729.470176,61,-1,10,10.05,95.711
729.470176,62,-1,11,11.045,95.194
729.470176,63,-1,11,11.045,95.194
729.674555,0,0,0,0.0,0.0
729.674555,1,9,5,10.296,29.055
729.674555,2,10,5,11.18,26.565
729.674555,3,10,5,11.18,26.565
729.674555,4,10,5,11.18,26.565
729.674555,5,11,5,12.083,24.444
729.674555,6,11,5,12.083,24.444
729.674555,7,11,5,12.083,24.444
729.674555,8,11,5,12.083,24.444
729.674555,9,11,5,12.083,24.444
729.674555,10,12,4,12.649,18.435
729.674555,11,11,3,11.402,15.255
729.674555,12,12,2,12.166,9.462
729.674555,13,13,1,13.038,4.399
729.674555,14,14,0,14.0,0.0
729.674555,15,14,-1,14.036,-4.086
729.674555,16,13,-3,13.342,-12.995
729.674555,17,13,-5,13.928,-21.038
729.674555,18,14,-6,15.232,-23.199
729.674555,19,13,-6,14.318,-24.775
729.674555,20,13,-7,14.765,-28.301
729.674555,21,13,-7,14.765,-28.301
729.674555,22,12,-7,13.892,-30.256
729.674555,23,11,-7,13.038,-32.471
729.674555,24,11,-7,13.038,-32.471
729.674555,25,12,-6,13.416,-26.565
729.674555,26,12,-5,13.0,-22.62
729.674555,27,0,0,0.0,0.0
729.674555,28,0,0,0.0,0.0
729.674555,29,0,0,0.0,0.0
729.674555,30,0,0,0.0,0.0
729.674555,31,0,0,0.0,0.0
729.674555,32,0,0,0.0,0.0
729.674555,33,0,0,0.0,0.0
729.674555,34,0,0,0.0,0.0
729.674555,35,0,0,0.0,0.0
729.674555,36,0,0,0.0,0.0
729.674555,37,0,0,0.0,0.0
729.674555,38,3,2,3.606,33.69
729.674555,39,2,3,3.606,56.31
729.674555,40,1,4,4.123,75.964
729.674555,41,1,4,4.123,75.964
729.674555,42,0,4,4.0,90.0
729.674555,43,-1,5,5.099,101.31
729.674555,44,-1,5,5.099,101.31
729.674555,45,-1,5,5.099,101.31
729.674555,46,-1,6,6.083,99.462
729.674555,47,-1,5,5.099,101.31
729.674555,48,-1,5,5.099,101.31
729.674555,49,-1,6,6.083,99.462
